detection_id,video_id,frame_number,timestamp,ear_tag_detected,bounding_box_x,bounding_box_y,bounding_box_w,bounding_box_h,color_detected,horns_present,activity_label,health_score,location_zone,confidence_score,gait_status,isolation_flag,abnormal_posture_detected,social_group_id,feeding_event_flag
DET00001,VID001,0,2025-11-09 08:00:00,,0.23,0.19,0.28,0.34,Spotted,Both,Grazing,71,Feeding Area,0.772,Normal,False,False,12,True
DET00002,VID001,9,2025-11-09 08:00:30,W019,0.5,0.69,0.08,0.39,Mixed,Right,Grazing,74,Feeding Area,0.98,Normal,False,False,14,True
DET00003,VID001,12,2025-11-09 08:01:00,L007,0.39,0.11,0.33,0.15,Brown,Left,Grazing,92,Feeding Area,0.761,Normal,False,False,4,True
DET00004,VID001,18,2025-11-09 08:01:30,G010,0.71,0.14,0.18,0.34,Mixed,Both,Walking,70,Outdoor Paddock,0.925,Normal,False,False,11,False
DET00005,VID001,24,2025-11-09 08:02:00,Q012,0.72,0.66,0.14,0.13,Brown,Right,Grazing,76,Outdoor Paddock,0.801,Normal,False,False,3,False
DET00006,VID001,27,2025-11-09 08:02:30,,0.63,0.46,0.28,0.26,Spotted,Right,Grazing,74,Outdoor Paddock,0.772,Normal,False,False,13,False
DET00007,VID001,33,2025-11-09 08:03:00,T014,0.32,0.85,0.22,0.44,Reddish,Both,Walking,68,Shelter,0.962,Normal,False,False,5,False
DET00008,VID001,38,2025-11-09 08:03:30,A003,0.81,0.74,0.15,0.29,Black,Both,Lying,59,Shelter,0.872,Limping,False,True,13,False
DET00009,VID001,44,2025-11-09 08:04:00,E013,0.28,0.02,0.33,0.41,Reddish,Left,Standing,67,Outdoor Paddock,0.977,Normal,False,False,13,False
DET00010,VID001,49,2025-11-09 08:04:30,G011,0.56,0.8,0.12,0.29,Spotted,Right,Resting,92,Rest Area,0.921,Normal,False,False,15,False
DET00011,VID001,54,2025-11-09 08:05:00,M013,0.19,0.29,0.24,0.2,Black,Both,Standing,80,Feeding Area,0.805,Limping,False,True,4,True
DET00012,VID001,58,2025-11-09 08:05:30,G015,0.61,0.75,0.24,0.2,Grey,Right,Standing,63,Shelter,0.853,Normal,False,False,11,False
DET00013,VID001,60,2025-11-09 08:06:00,,0.62,0.68,0.11,0.18,Spotted,Right,Standing,65,Rest Area,0.861,Limping,False,False,14,False
DET00014,VID001,69,2025-11-09 08:06:30,,0.55,0.46,0.08,0.15,Reddish,None,Standing,75,Medical Bay,0.801,Normal,False,False,7,False
DET00015,VID001,72,2025-11-09 08:07:00,O003,0.39,0.36,0.34,0.45,Spotted,Right,Standing,69,Water Zone,0.982,Normal,False,False,1,False
DET00016,VID001,75,2025-11-09 08:07:30,Z014,0.78,0.45,0.1,0.29,Reddish,None,Standing,62,Shelter,0.957,Normal,False,False,10,False
DET00017,VID001,84,2025-11-09 08:08:00,,0.07,0.56,0.23,0.22,Brown,None,Walking,75,Water Zone,0.814,Normal,False,False,15,False
DET00018,VID001,85,2025-11-09 08:08:30,,0.53,0.48,0.11,0.3,Spotted,Left,Standing,71,Feeding Area,0.961,Normal,False,False,12,True
DET00019,VID001,94,2025-11-09 08:09:00,,0.69,0.25,0.26,0.43,Black,Left,Standing,63,Shelter,0.883,Normal,False,False,4,False
DET00020,VID001,97,2025-11-09 08:09:30,M017,0.77,0.72,0.1,0.26,Brown,Both,Standing,84,Water Zone,0.903,Normal,False,False,7,False
DET00021,VID001,104,2025-11-09 08:10:00,,0.06,0.75,0.32,0.3,Reddish,Left,Grazing,74,Outdoor Paddock,0.781,Normal,False,False,14,False
DET00022,VID001,105,2025-11-09 08:10:30,K015,0.58,0.57,0.18,0.3,Reddish,Right,Resting,86,Rest Area,0.972,Normal,False,False,3,False
DET00023,VID001,113,2025-11-09 08:11:00,,0.63,0.28,0.33,0.38,Reddish,None,Grazing,95,Feeding Area,0.842,Normal,False,False,15,True
DET00024,VID001,117,2025-11-09 08:11:30,S012,0.19,0.02,0.13,0.23,Reddish,Both,Resting,71,Shelter,0.904,Normal,False,False,1,False
DET00025,VID001,120,2025-11-09 08:12:00,N007,0.15,0.82,0.15,0.16,Grey,Left,Walking,75,Medical Bay,0.895,Normal,False,False,5,False
DET00026,VID001,125,2025-11-09 08:12:30,A001,0.44,0.69,0.27,0.43,Mixed,None,Grazing,72,Outdoor Paddock,0.9,Normal,False,False,9,False
DET00027,VID001,132,2025-11-09 08:13:00,Q014,0.34,0.25,0.11,0.26,Grey,None,Walking,74,Medical Bay,0.882,Normal,False,False,10,False
DET00028,VID001,139,2025-11-09 08:13:30,X016,0.38,0.57,0.22,0.38,Reddish,None,Walking,74,Outdoor Paddock,0.909,Normal,False,False,4,False
DET00029,VID001,142,2025-11-09 08:14:00,K003,0.13,0.04,0.35,0.32,Reddish,Both,Grazing,98,Feeding Area,0.922,Normal,False,False,12,False
DET00030,VID001,145,2025-11-09 08:14:30,L004,0.15,0.81,0.22,0.14,Black,Both,Grazing,95,Outdoor Paddock,0.91,Unstable,False,False,15,False
DET00031,VID001,153,2025-11-09 08:15:00,K016,0.76,0.36,0.32,0.27,Black,Right,Grazing,94,Feeding Area,0.952,Normal,False,False,4,True
DET00032,VID001,155,2025-11-09 08:15:30,M000,0.23,0.27,0.23,0.17,Black,Right,Walking,87,Water Zone,0.765,Normal,False,False,4,False
DET00033,VID001,163,2025-11-09 08:16:00,N008,0.5,0.59,0.31,0.37,Grey,Right,Standing,71,Rest Area,0.931,Limping,False,False,12,False
DET00034,VID001,169,2025-11-09 08:16:30,T019,0.19,0.19,0.2,0.13,Brown,Right,Walking,91,Medical Bay,0.971,Unstable,False,False,10,False
DET00035,VID001,174,2025-11-09 08:17:00,E005,0.55,0.12,0.2,0.14,Grey,Left,Standing,70,Rest Area,0.933,Normal,False,False,5,False
DET00036,VID001,175,2025-11-09 08:17:30,M007,0.46,0.85,0.17,0.33,Reddish,Both,Walking,95,Water Zone,0.798,Normal,False,False,11,False
DET00037,VID001,180,2025-11-09 08:18:00,L003,0.4,0.22,0.18,0.32,Mixed,Both,Walking,70,Rest Area,0.776,Normal,False,False,7,False
DET00038,VID001,188,2025-11-09 08:18:30,K003,0.06,0.59,0.25,0.15,Reddish,Left,Lying,69,Feeding Area,0.941,Normal,True,False,11,False
DET00039,VID001,192,2025-11-09 08:19:00,,0.55,0.01,0.19,0.28,Grey,Left,Walking,91,Medical Bay,0.92,Normal,False,False,5,False
DET00040,VID001,199,2025-11-09 08:19:30,B011,0.66,0.4,0.3,0.32,Brown,None,Running,57,Rest Area,0.962,Unstable,False,False,7,False
DET00041,VID001,202,2025-11-09 08:20:00,,0.72,0.15,0.14,0.38,Brown,Left,Lying,72,Rest Area,0.883,Normal,False,False,7,False
DET00042,VID001,208,2025-11-09 08:20:30,M006,0.59,0.55,0.21,0.38,White,Left,Standing,82,Water Zone,0.823,Normal,False,False,7,False
DET00043,VID001,214,2025-11-09 08:21:00,J019,0.39,0.26,0.14,0.36,Brown,Both,Walking,95,Shelter,0.794,Normal,False,False,13,False
DET00044,VID001,219,2025-11-09 08:21:30,F002,0.71,0.25,0.18,0.22,Mixed,None,Grazing,71,Outdoor Paddock,0.917,Normal,False,False,14,False
DET00045,VID001,220,2025-11-09 08:22:00,Y000,0.41,0.29,0.34,0.2,Reddish,Right,Standing,62,Medical Bay,0.868,Normal,False,False,13,False
DET00046,VID001,229,2025-11-09 08:22:30,E007,0.84,0.1,0.29,0.32,Reddish,None,Walking,77,Medical Bay,0.968,Normal,False,False,10,False
DET00047,VID001,234,2025-11-09 08:23:00,,0.82,0.08,0.29,0.33,Brown,Both,Standing,65,Outdoor Paddock,0.768,Normal,False,False,5,False
DET00048,VID001,235,2025-11-09 08:23:30,K003,0.24,0.73,0.1,0.2,Brown,None,Grazing,87,Feeding Area,0.905,Limping,False,True,3,True
DET00049,VID001,244,2025-11-09 08:24:00,D002,0.78,0.37,0.21,0.22,Grey,Left,Grazing,85,Outdoor Paddock,0.769,Normal,False,False,5,False
DET00050,VID001,245,2025-11-09 08:24:30,,0.82,0.71,0.24,0.43,Reddish,Left,Grazing,94,Feeding Area,0.863,Normal,False,False,10,True
DET00051,VID001,253,2025-11-09 08:25:00,Y001,0.3,0.28,0.26,0.4,Brown,Right,Walking,74,Shelter,0.977,Normal,False,False,6,False
DET00052,VID001,257,2025-11-09 08:25:30,X013,0.66,0.74,0.3,0.12,Reddish,Right,Grazing,76,Outdoor Paddock,0.899,Normal,False,False,5,False
DET00053,VID001,264,2025-11-09 08:26:00,,0.24,0.75,0.21,0.13,Mixed,None,Walking,74,Outdoor Paddock,0.753,Normal,False,False,2,False
DET00054,VID001,268,2025-11-09 08:26:30,H003,0.71,0.42,0.27,0.29,Brown,Right,Running,70,Water Zone,0.86,Normal,False,False,12,False
DET00055,VID001,271,2025-11-09 08:27:00,O002,0.66,0.73,0.17,0.38,Brown,Both,Grazing,79,Outdoor Paddock,0.958,Normal,False,False,13,False
DET00056,VID001,279,2025-11-09 08:27:30,V015,0.27,0.16,0.27,0.31,Black,Right,Standing,83,Medical Bay,0.919,Normal,False,False,14,False
DET00057,VID001,281,2025-11-09 08:28:00,B017,0.11,0.82,0.17,0.15,Reddish,Right,Standing,89,Medical Bay,0.754,Normal,False,False,2,False
DET00058,VID001,288,2025-11-09 08:28:30,N011,0.29,0.59,0.26,0.4,Reddish,Right,Resting,83,Shelter,0.959,Normal,False,False,15,False
DET00059,VID001,292,2025-11-09 08:29:00,M004,0.08,0.83,0.29,0.35,White,Right,Standing,69,Feeding Area,0.761,Normal,False,False,3,True
DET00060,VID001,298,2025-11-09 08:29:30,O011,0.15,0.15,0.24,0.25,Mixed,None,Grazing,88,Feeding Area,0.806,Normal,False,False,15,True
DET00061,VID001,302,2025-11-09 08:30:00,I001,0.06,0.8,0.35,0.22,Grey,Left,Grazing,79,Feeding Area,0.99,Limping,False,True,6,True
DET00062,VID001,307,2025-11-09 08:30:30,,0.71,0.34,0.08,0.41,Reddish,Both,Lying,73,Medical Bay,0.95,Limping,False,True,13,False
DET00063,VID001,312,2025-11-09 08:31:00,J014,0.53,0.58,0.27,0.34,Reddish,None,Walking,93,Shelter,0.905,Normal,False,False,12,False
DET00064,VID001,316,2025-11-09 08:31:30,,0.25,0.64,0.13,0.16,Spotted,Left,Grazing,99,Outdoor Paddock,0.949,Normal,False,False,13,False
DET00065,VID001,322,2025-11-09 08:32:00,R006,0.68,0.4,0.1,0.37,Black,Right,Resting,88,Shelter,0.772,Normal,False,False,6,False
DET00066,VID001,327,2025-11-09 08:32:30,Q002,0.54,0.32,0.26,0.28,Spotted,Left,Lying,57,Shelter,0.765,Normal,False,False,7,False
DET00067,VID001,330,2025-11-09 08:33:00,,0.8,0.26,0.21,0.15,Spotted,None,Grazing,81,Outdoor Paddock,0.891,Normal,False,False,14,False
DET00068,VID001,338,2025-11-09 08:33:30,W001,0.81,0.03,0.18,0.27,Black,Left,Standing,81,Rest Area,0.881,Unstable,False,True,4,False
DET00069,VID001,340,2025-11-09 08:34:00,Q003,0.39,0.56,0.25,0.32,White,Both,Walking,72,Water Zone,0.939,Normal,False,False,10,False
DET00070,VID001,346,2025-11-09 08:34:30,L018,0.28,0.13,0.32,0.12,Reddish,None,Resting,80,Shelter,0.942,Normal,False,False,6,False
DET00071,VID001,351,2025-11-09 08:35:00,A016,0.15,0.04,0.28,0.29,Mixed,Both,Grazing,94,Outdoor Paddock,0.873,Normal,False,False,1,False
DET00072,VID001,359,2025-11-09 08:35:30,G018,0.82,0.05,0.21,0.25,Mixed,Both,Grazing,99,Outdoor Paddock,0.768,Normal,False,False,5,False
DET00073,VID001,364,2025-11-09 08:36:00,C001,0.61,0.32,0.24,0.22,Spotted,Right,Standing,82,Feeding Area,0.955,Normal,False,False,4,True
DET00074,VID001,366,2025-11-09 08:36:30,Q007,0.39,0.35,0.11,0.26,Mixed,Left,Grazing,74,Outdoor Paddock,0.766,Normal,False,False,12,False
DET00075,VID001,372,2025-11-09 08:37:00,C009,0.05,0.81,0.23,0.34,Grey,Left,Lying,80,Medical Bay,0.958,Normal,False,False,6,False
